GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tourguide,com.openclassrooms.tourguide.helper,InternalTestHelper,3,8,0,0,1,4,1,3,1,3
tourguide,com.openclassrooms.tourguide.service,TourGuideService,43,329,4,2,8,78,6,23,3,23
tourguide,com.openclassrooms.tourguide.service,RewardsService,10,165,1,9,4,35,3,13,2,9
tourguide,com.openclassrooms.tourguide.user,UserPreferences,35,18,0,0,15,7,10,1,10,1
tourguide,com.openclassrooms.tourguide.user,UserReward,16,12,0,0,7,5,3,1,3,1
tourguide,com.openclassrooms.tourguide.user,User,49,84,0,2,18,21,12,9,12,8
tourguide,com.openclassrooms.tourguide.tracker,Tracker,5,90,0,4,3,26,0,7,0,5
tourguide,com.openclassrooms.tourguide,TourGuideModule,0,19,0,0,0,4,0,4,0,4
tourguide,com.openclassrooms.tourguide,TourguideApplication,5,3,0,0,2,1,1,1,1,1
tourguide,com.openclassrooms.tourguide,TourGuideController,45,3,0,0,8,1,6,1,6,1
tourguide,com.openclassrooms.tourguide.dto,NearbyAttractionDTO,0,41,0,0,0,3,0,2,0,2
